Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
12707.7,10400,"92,75",,"37,75",,,10270,,
12709.6,10560,"105,3",,"36,8",,,10420,,
12711.5,10710,"119,2",,"35,77",,,10550,,
12713.5,10840,"135,4",,"34,6",,,10670,,
12715.4,10950,"152,4",,"33,42",,,10770,,
12717.3,11050,"170,9",,"32,18",,,10850,,
12719.2,11130,"191,2",,"30,9",,,10910,,
12721.2,11210,"214,4",,"29,51",,,10960,,
12723.1,11260,"238,4",,"28,15",,,11000,,
12725,11310,"264,2",,"26,78",,,11020,,
12726.9,11350,292,,"25,4",,,11030,,
12728.8,11380,"321,7",,"24,01",,,11030,,
12730.8,11400,"355,1",,"22,56",,,11030,,
12732.7,11420,"388,9",,"21,2",,,11010,,
12734.6,11440,"424,7",,"19,86",,,11000,,
12736.5,11460,"462,3",,"18,55",,,10980,,
12738.5,11480,"503,9",,"17,21",,,10960,,
12740.4,11500,"545,3",,"15,97",,,10940,,
12742.3,11530,"588,2",,"14,78",,,10920,,
12744.2,11560,"632,7",,"13,63",,,10910,,
12746.2,11600,681,,"12,48",,,10910,,
12748.1,11650,"728,1",,"11,45",,,10910,,
12750,11710,776,,"10,46",,,10920,,
12751.9,11780,"824,7",,"9,535",,,10940,,
12753.8,11860,"873,9",,"8,663",,,10970,,
12755.8,11950,"925,8",,"7,806",,,11020,,
12757.7,12060,975,,"7,049",,,11080,,
12759.6,12180,1024,,"6,346",,,11150,,
12761.5,12300,1072,,"5,696",,,11230,,
12763.5,12450,1121,,"5,068",,,11320,,
12765.4,12600,1167,,"4,522",,,11430,,
12767.3,12760,1210,,"4,023",,,11540,,
12769.2,12920,1252,,"3,569",,,11670,,
12771.2,13100,1293,,"3,137",,,11810,,
12773.1,13280,1330,,"2,768",,,11940,,
12775,13450,1363,,"2,436",,,12090,,
12776.9,13630,1393,,"2,139",,,12230,,
12778.8,13800,1419,,"1,875",,,12380,,
12780.8,13980,1443,,"1,63",,,12530,,
12782.7,14140,1462,,"1,426",,,12680,,
12784.6,14290,1476,,"1,248",,,12810,,
12786.5,14420,1486,,"1,093",,,12940,,
12788.5,14550,1492,,"0,9551",,,13060,,
12790.4,14650,1493,,"0,8446",,,13160,,
