'Teorical peaks','Empirical peaks','Normalized','Zero Padding','Teorical WeedOut','Empirical WeedOut','WeedOut Min Value','W_STEP','W_LENGTH','Count of Windows','Distance',,'IoU',,'Scroll Error',,'Time',
'TRUE','FALSE','FALSE','TRUE','TRUE','TRUE',100,75,2000,70,3.14,-2.11,0.04,-0.04,3303.28,-1432.83,0.04,0.00
'TRUE','FALSE','FALSE','TRUE','TRUE','TRUE',1000,75,2000,71,25.07,-12.87,0.04,-0.04,3365.90,-1563.27,0.45,-0.12
'TRUE','FALSE','FALSE','TRUE','TRUE','FALSE',20,75,2000,70,1767.19,-347.01,0.06,-0.05,3146.72,-918.76,17.00,-0.05
'TRUE','FALSE','FALSE','TRUE','TRUE','FALSE',100,75,2000,70,1613.49,-384.22,0.05,-0.05,3140.38,-904.34,17.68,-0.03
'TRUE','FALSE','FALSE','TRUE','TRUE','FALSE',1000,75,2000,71,1262.35,-227.35,0.09,-0.07,2732.68,-410.66,21.20,-0.01
'TRUE','FALSE','FALSE','TRUE','FALSE','TRUE',20,75,2000,72,0.67,-0.24,0.00,0.00,3355.65,-1464.77,0.10,-0.01
'TRUE','FALSE','FALSE','TRUE','FALSE','TRUE',100,75,2000,72,2.81,-0.76,0.00,0.00,3431.89,-1613.89,0.34,-0.06
'TRUE','FALSE','FALSE','TRUE','FALSE','TRUE',1000,75,2000,72,29.51,-8.08,0.00,0.00,3539.34,-1699.59,3.59,-1.02
'TRUE','FALSE','FALSE','TRUE','FALSE','FALSE',20,75,2000,72,550.93,-124.20,0.05,-0.04,3013.38,-1311.11,82.14,-0.03
'TRUE','FALSE','FALSE','TRUE','FALSE','FALSE',100,75,2000,72,550.93,-124.20,0.05,-0.04,3013.38,-1311.11,82.13,-0.06
'TRUE','FALSE','FALSE','TRUE','FALSE','FALSE',1000,75,2000,72,550.93,-124.20,0.05,-0.04,3013.38,-1311.11,82.14,-0.06
'TRUE','FALSE','FALSE','FALSE','TRUE','TRUE',20,75,2000,67,1.05,-0.83,0.20,-0.30,2906.59,-1671.17,0.02,0.00
'TRUE','FALSE','FALSE','FALSE','TRUE','TRUE',100,75,2000,70,3.15,-2.10,0.04,-0.04,3296.17,-1428.21,0.04,0.00
'TRUE','FALSE','FALSE','FALSE','TRUE','TRUE',1000,75,2000,71,20.28,-6.49,0.02,-0.04,3403.28,-1573.41,0.69,-0.18
'TRUE','FALSE','FALSE','FALSE','TRUE','FALSE',20,75,2000,67,1767.38,-347.16,0.06,-0.05,3144.04,-918.66,16.28,-0.01
'TRUE','FALSE','FALSE','FALSE','TRUE','FALSE',100,75,2000,70,1616.89,-388.10,0.04,-0.05,3152.45,-905.67,17.64,-0.02
'TRUE','FALSE','FALSE','FALSE','TRUE','FALSE',1000,75,2000,71,1062.93,-245.01,0.33,-0.25,2028.20,-1368.71,26.32,-0.01
'TRUE','FALSE','FALSE','FALSE','FALSE','TRUE',20,75,2000,72,0.67,-0.24,0.00,0.00,3355.65,-1464.77,0.09,-0.01
'TRUE','FALSE','FALSE','FALSE','FALSE','TRUE',100,75,2000,72,2.81,-0.76,0.00,0.00,3431.89,-1613.89,0.32,-0.06
